AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-2010,"Switchboard Operators, Including Answering Service",broad,59270,3.3,,,,16.34,33980,1.2,10.83,12.84,15.11,18.64,23.83,22530,26710,31430,38780,49570,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-2020,Telephone Operators,broad,4630,7.4,,,,18.91,39340,1.5,12.02,14.15,18.13,23.41,28.08,25000,29430,37710,48700,58410,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-2090,Miscellaneous Communications Equipment Operators,broad,3070,17.4,,,,23.68,49260,2.9,14.51,18.02,22.44,29.1,35.64,30180,37470,46680,60520,74120,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-2099,"Communications Equipment Operators, All Other",detailed,3070,17.4,,,,23.68,49260,2.9,14.51,18.02,22.44,29.1,35.64,30180,37470,46680,60520,74120,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-3000,Financial Clerks,minor,2770580,0.4,,,,20.15,41920,0.1,12.87,15.59,19.02,23.99,29.6,26770,32420,39550,49900,61560,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-3060,Procurement Clerks,broad,61000,1.4,,,,21.83,45400,0.3,14.69,17.62,21.51,25.46,29.75,30540,36660,44740,52950,61880,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-3070,Tellers,broad,423570,0.9,,,,15.85,32960,0.3,11.86,13.5,15.68,18.17,19.82,24660,28080,32620,37780,41220,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-3090,Miscellaneous Financial Clerks,broad,30470,3.7,,,,22.27,46310,1.1,14.49,17.31,21.23,25.94,31.66,30140,36010,44160,53960,65850,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-3099,"Financial Clerks, All Other",detailed,30470,3.7,,,,22.27,46310,1.1,14.49,17.31,21.23,25.94,31.66,30140,36010,44160,53960,65850,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-4010,Brokerage Clerks,broad,44720,3.1,,,,28.11,58460,0.8,17.84,21.77,26.57,32.42,40.03,37100,45280,55270,67420,83260,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-4020,Correspondence Clerks,broad,6150,7.9,,,,19.26,40070,0.9,13.47,16.03,18.46,22.08,26.23,28010,33350,38400,45930,54570,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-4070,File Clerks,broad,91560,1.7,,,,17.38,36140,0.4,11.31,13.41,16.39,20.11,25.19,23520,27890,34090,41820,52400,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-4120,"Library Assistants, Clerical",broad,84560,1.7,,,,14.78,30740,0.6,9.45,11.17,13.81,17.58,22.08,19650,23240,28730,36570,45930,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-4140,New Accounts Clerks,broad,45250,3.3,,,,19.17,39870,2.1,13.23,15.47,18.15,21.85,25.22,27520,32170,37750,45450,52450,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-4150,Order Clerks,broad,119640,2.3,,,,18.1,37660,0.5,11.93,13.9,17.11,21.36,26.18,24820,28900,35590,44440,54450,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-5030,Dispatchers,broad,281740,1.1,,,,21.72,45170,0.4,12.99,15.98,20.07,25.82,32.44,27020,33240,41750,53710,67480,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-5051,Postal Service Clerks,detailed,86950,0.0,,,,24.62,51200,0.2,18.15,18.74,24.11,30.29,30.89,37760,38980,50150,62990,64260,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-9021,Data Entry Keyers,detailed,151520,1.9,,,,17.24,35850,0.4,11.77,13.74,16.56,19.59,24.25,24490,28580,34440,40750,50440,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-9060,"Office Clerks, General",broad,2788090,0.4,,,,18.16,37770,0.2,10.59,13.26,16.98,21.87,27.47,22030,27570,35330,45480,57140,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-9070,"Office Machine Operators, Except Computer",broad,40640,3.4,,,,17.59,36580,0.6,11.83,13.78,16.7,20.01,24.98,24600,28670,34730,41630,51960,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-9110,Statistical Assistants,broad,9320,3.6,,,,25.06,52120,2.3,15.01,18.26,24.21,30.46,37.06,31220,37970,50360,63350,77070,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,45-2091,Agricultural Equipment Operators,detailed,29220,4.4,,,,16.38,34070,1.2,10.51,13.39,15.75,18.91,23.02,21860,27850,32750,39340,47890,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,45-4022,Logging Equipment Operators,detailed,25560,3.2,,,,20.95,43570,1.3,12.39,15.9,20.78,25.38,30.31,25760,33080,43210,52780,63050,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2010,Boilermakers,broad,14020,7.2,,,,32.42,67430,1.4,19.05,25.59,31.42,39.02,48.04,39620,53240,65360,81150,99920,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2030,Carpenters,broad,699300,0.9,,,,26.06,54200,0.4,15,18.38,23.81,31,42.02,31200,38240,49520,64480,87410,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2041,Carpet Installers,detailed,23020,5.1,,,,22.19,46150,2.0,12.45,15.36,19.94,26.7,36.42,25900,31940,41480,55540,75750,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2070,Construction Equipment Operators,broad,451250,0.8,,,,26.22,54540,0.4,15.69,18.52,23.61,31.19,41.49,32630,38530,49100,64870,86300,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2072,Pile Driver Operators,detailed,3820,8.4,,,,34.56,71880,3.4,17.79,22.88,30.47,46.72,55.43,37010,47590,63370,97190,115290,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2110,Electricians,broad,656510,0.9,,,,29.59,61550,0.6,16.26,20.57,27.36,36.24,47.46,33810,42790,56900,75380,98720,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2132,"Insulation Workers, Mechanical",detailed,27700,5.4,,,,26.67,55470,1.7,15.78,19.06,24.05,31.06,43.81,32830,39640,50030,64600,91120,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2180,Roofers,broad,128680,2.1,,,,22.6,47010,1.0,13.09,16.26,20.95,27.33,34.66,27220,33810,43580,56860,72100,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2210,Sheet Metal Workers,broad,128220,2.2,,,,26.6,55320,0.9,14.64,18.26,24.7,32.39,42.05,30460,37980,51370,67380,87470,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2230,Solar Photovoltaic Installers,broad,11490,9.2,,,,23.08,48020,1.9,15.67,18.2,22.34,26.81,31.06,32590,37860,46470,55760,64600,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-3012,Helpers--Carpenters,detailed,30900,3.8,,,,17,35360,0.9,11.47,13.6,16.48,19.47,24.02,23850,28290,34280,40490,49950,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-3013,Helpers--Electricians,detailed,73920,2.9,,,,17.04,35440,0.8,11.67,13.54,16.27,19.33,24.06,24280,28160,33840,40220,50050,,
