AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000_ORIG,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-3052,Motorcycle Mechanics,detailed,15590,3.6,,,,19.22,39970,1.0,11.78,14.4,18.08,23.33,28.87,24490,29950,37600,48530,60060,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-3091,Bicycle Repairers,detailed,13190,8.3,,,,15.07,31360,1.5,10.78,12.16,14.58,17.57,20.49,22430,25290,30330,36550,42630,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-3092,Recreational Vehicle Service Technicians,detailed,15580,5.1,,,,20.03,41660,1.3,12.55,15.24,18.54,23.79,28.97,26100,31710,38570,49480,60250,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-9011,Mechanical Door Repairers,detailed,23050,5.3,,,,21.03,43740,1.1,13.21,16.19,19.99,24.74,30.2,27480,33670,41570,51460,62820,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-9031,Home Appliance Repairers,detailed,31100,4.0,,,,20.38,42400,1.0,11.78,15.12,19.36,24.74,30.18,24500,31450,40260,51450,62770,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-9041,Industrial Machinery Mechanics,detailed,387630,0.9,,,,26.6,55320,0.2,16.54,20.51,25.77,31.34,38.3,34410,42660,53590,65190,79660,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-9043,"Maintenance Workers, Machinery",detailed,72890,1.6,,,,23.77,49450,0.5,14.46,17.93,22.85,28.56,34.84,30070,37290,47520,59410,72460,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-9044,Millwrights,detailed,47320,3.1,,,,27.43,57050,0.8,16.84,20.89,26.71,33.26,38.98,35030,43450,55560,69190,81080,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-9045,"Refractory Materials Repairers, Except Brickmasons",detailed,820,12.6,,,,26.8,55750,2.1,16.88,20.82,25.95,30.54,37.73,35110,43300,53990,63510,78480,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-9062,Medical Equipment Repairers,detailed,46370,2.5,,,,25.54,53130,0.8,14.25,17.61,23.69,31.46,39.66,29630,36630,49280,65430,82500,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-9081,Wind Turbine Service Technicians,detailed,5960,10.2,,,,27.26,56700,1.4,19.15,21.54,25.44,31.35,38.53,39820,44810,52910,65200,80150,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-5112,Printing Press Operators,detailed,173430,1.4,,,,18.8,39100,0.5,11.46,13.86,17.74,22.79,28.24,23830,28840,36910,47400,58740,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-6031,Sewing Machine Operators,detailed,133410,1.8,,,,13.46,28000,0.5,9.39,11.09,12.7,15.26,18.51,19530,23060,26420,31750,38500,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-7031,"Model Makers, Wood",detailed,810,30.9,,,,27.56,57320,3.8,16.05,20.05,28.49,34.09,37.75,33390,41700,59260,70910,78530,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-7032,"Patternmakers, Wood",detailed,370,21.3,,,,30.53,63490,3.7,18.53,24.36,31.19,36.99,42.31,38540,50660,64880,76940,87990,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-7099,"Woodworkers, All Other",detailed,6700,6.7,,,,16.96,35270,1.5,10.48,12.01,15.92,21.06,25.81,21800,24970,33110,43800,53680,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-8011,Nuclear Power Reactor Operators,detailed,5050,5.9,,,,48.55,100990,1.0,35.83,41.95,48.33,56.19,61.93,74520,87250,100530,116880,128810,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-8013,Power Plant Operators,detailed,33620,2.7,,,,38.16,79370,0.6,22.1,30.34,39.42,46.61,52.1,45970,63110,81990,96940,108380,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-8092,Gas Plant Operators,detailed,14410,4.5,,,,34.16,71050,0.9,21.19,27.31,34,39.97,48.71,44080,56800,70710,83130,101320,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-9081,Dental Laboratory Technicians,detailed,34460,2.9,,,,21.31,44330,0.8,12.34,15.28,19.87,25.94,31.64,25660,31790,41340,53950,65820,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-9082,Medical Appliance Technicians,detailed,14130,5.0,,,,21.25,44200,1.3,12.17,15.46,19.56,25.48,32.14,25320,32160,40690,53000,66860,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-9083,Ophthalmic Laboratory Technicians,detailed,29150,4.5,,,,16.73,34800,0.9,11.13,12.89,15.68,19.26,23.97,23140,26810,32620,40060,49850,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-9141,Semiconductor Processing Technicians,detailed,27680,7.4,,,,20.17,41950,2.6,12.94,15.09,18.3,23.9,30.86,26910,31390,38060,49710,64190,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-9161,Computer Numerically Controlled Tool Operators,detailed,151700,1.5,,,,20.75,43170,0.6,13.33,16.12,19.81,24.49,29.8,27730,33540,41200,50940,61980,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-9162,Computer Numerically Controlled Tool Programmers,detailed,25570,2.8,,,,28.72,59730,0.8,17.44,21.48,27.14,34.02,42.87,36280,44680,56450,70750,89170,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-9198,Helpers--Production Workers,detailed,303030,1.9,,,,14.68,30540,0.4,9.9,11.59,13.99,17.32,20.48,20590,24120,29100,36030,42600,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-9199,"Production Workers, All Other",detailed,222230,1.8,,,,16.26,33830,0.6,9.77,11.6,14.33,18.91,25.39,20320,24120,29800,39330,52820,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-1041,Aircraft Cargo Handling Supervisors,detailed,9500,6.2,,,,27.87,57960,1.6,16.87,19.84,25.89,35.24,40.22,35090,41260,53850,73300,83650,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-2012,Commercial Pilots,detailed,37830,2.6,,,,*,102870,2.8,*,*,*,*,*,45480,63040,86080,123070,179440,True,
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-2021,Air Traffic Controllers,detailed,22090,0.6,,,,57.76,120140,0.8,32.85,41.24,59.13,72.76,84.77,68330,85770,122990,151350,176320,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-2022,Airfield Operations Specialists,detailed,10680,3.6,,,,27.7,57620,3.4,13.7,17.94,25.31,34.52,44.37,28500,37320,52650,71810,92290,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-2031,Flight Attendants,detailed,120840,2.1,,,,*,56230,1.8,*,*,*,*,*,29270,41070,56640,67040,80940,True,
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-3031,Driver/Sales Workers,detailed,444660,1.9,,,,14.53,30230,0.6,8.68,9.63,12.43,18.03,23.54,18060,20040,25860,37500,48970,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-3033,Light Truck Drivers,detailed,923050,0.8,,,,18.52,38520,0.4,10.13,12.37,16.7,22.94,31.44,21060,25730,34730,47700,65400,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-3099,"Motor Vehicle Operators, All Other",detailed,56590,3.3,,,,17.93,37300,1.6,9.61,11.59,15.82,23.42,28.75,19990,24110,32910,48700,59800,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-4099,"Rail Transportation Workers, All Other",detailed,2650,13.9,,,,26.04,54170,2.7,15.19,18.27,24.81,31.35,39.23,31590,37990,51600,65210,81600,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-5022,Motorboat Operators,detailed,2120,10.8,,,,23.57,49030,3.4,12.14,15.79,23.2,29.99,35.67,25250,32830,48260,62370,74180,,
