AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9000,Other Management Occupations,minor,2942420,0.6,,,,,54.53,113420,0.3,23.48,32.33,47.95,65.12,88.84,48840,67250,99740,135450,184790,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9020,Construction Managers,broad,303220,1.9,,,,,54.22,112790,0.6,29.91,37.96,48.79,63.11,80.96,62210,78950,101480,131280,168390,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,285910,0.5,,,,,*,106690,0.5,*,*,*,*,*,64690,80290,101320,128740,158770,True,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,167060,0.2,,,,,55.38,115180,0.4,29.33,37.02,48.05,63.47,94.43,61000,77010,99940,132010,196420,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,50180,1.3,,,,,47.99,99820,0.7,23.39,30.99,42.85,57.46,74.37,48650,64460,89130,119520,154690,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9050,Food Service Managers,broad,231100,1.6,,,,,32.27,67130,0.8,18.62,23.13,29.48,37.24,48.33,38740,48110,61310,77450,100520,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9071,Gambling Managers,detailed,4800,2.2,,,,,46.07,95830,1.1,23.9,29.77,38.8,55.19,78.46,49710,61920,80710,114790,163190,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9080,Lodging Managers,broad,39870,2.1,,,,,35.21,73230,1.7,17.72,22.6,29.76,40.21,58.86,36860,47000,61910,83630,122440,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9120,Natural Sciences Managers,broad,82570,1.4,,,,,78.66,163610,1.6,35.45,49.9,69.44,101.12,#,73730,103780,144440,210330,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9160,Emergency Management Directors,broad,11290,1.5,,,,,42.74,88890,0.7,22.56,28.6,38.07,51.06,71.09,46920,59480,79180,106200,147870,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9171,Funeral Home Managers,detailed,13680,3.3,,,,,40.76,84770,1.5,21.11,25.72,34.67,47.07,63.95,43910,53490,72110,97910,133010,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1000,Business Operations Specialists,minor,6660810,0.7,,,,,40.04,83280,0.2,20.05,26.61,36.56,48.78,63.59,41710,55360,76050,101460,132280,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1032,"Insurance Appraisers, Auto Damage",detailed,11430,5.2,,,,,34.42,71580,0.7,24.01,29.32,33.36,38.75,45.4,49940,60980,69380,80590,94440,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1070,Human Resources Workers,broad,898110,1.0,,,,,35.61,74060,0.4,18.9,23.78,31.25,43.19,57.35,39320,49450,65000,89840,119280,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,835360,1.2,,,,,35.13,73080,0.4,18.92,23.64,30.88,41.48,55.8,39340,49160,64240,86280,116060,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1075,Labor Relations Specialists,detailed,62200,1.8,,,,,42.05,87470,0.8,18.7,29.44,39.43,51.07,63.3,38900,61240,82010,106230,131660,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,202970,0.8,,,,,39.05,81220,0.4,22.24,28.86,37.27,47.79,59.64,46260,60020,77520,99400,124050,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1110,Management Analysts,broad,808860,0.7,,,,,50.32,104660,0.4,26.73,33.81,45.81,61.29,80.6,55590,70310,95290,127480,167650,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2000,Financial Specialists,minor,3016910,0.7,,,,,44.37,92290,0.5,21.63,28.45,37.59,49.92,72.26,44990,59180,78180,103830,150290,,
