AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-9000,Other Production Occupations,minor,2532530,0.3,,,,,22.46,46710,0.2,15.02,17.43,21.1,25.63,31.26,31250,36250,43880,53310,65010,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-9081,Dental Laboratory Technicians,detailed,34190,2.0,,,,,25.19,52390,0.6,16.32,18.39,22.93,29.27,37.24,33940,38250,47690,60880,77460,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-9082,Medical Appliance Technicians,detailed,12550,5.9,,,,,23.49,48860,1.2,16.9,18.38,21.62,25.42,33.68,35160,38220,44960,52880,70060,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-9083,Ophthalmic Laboratory Technicians,detailed,18240,5.4,,,,,19.85,41280,1.2,14.44,16.65,18.13,21.9,26.72,30030,34630,37720,45540,55580,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-9140,Semiconductor Processing Technicians,broad,26450,2.7,,,,,23.54,48970,0.3,15.2,18.51,22.04,27.24,32.63,31610,38510,45850,56660,67870,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-9161,Computer Numerically Controlled Tool Operators,detailed,187670,1.5,,,,,24.54,51030,0.3,17.49,19.42,23.34,28.67,32.2,36380,40390,48550,59630,66970,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-9162,Computer Numerically Controlled Tool Programmers,detailed,28030,1.9,,,,,32.52,67650,0.6,22.11,25.84,30.5,37.6,45.61,45980,53750,63440,78200,94880,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-9190,Miscellaneous Production Workers,broad,623280,0.6,,,,,20.36,42360,0.3,14.33,16.5,18.63,23.09,28.53,29800,34310,38750,48020,59350,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-9198,Helpers--Production Workers,detailed,181810,1.0,,,,,18.35,38160,0.4,13.76,15.58,17.65,20.48,24,28630,32400,36700,42600,49910,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-9199,"Production Workers, All Other",detailed,243500,1.1,,,,,19.9,41400,0.3,14.05,15.9,18,22.36,28.41,29220,33070,37430,46520,59090,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-1041,Aircraft Cargo Handling Supervisors,detailed,9020,2.9,,,,,31.23,64950,0.6,22.01,24.23,28.33,36.67,43.94,45770,50390,58920,76270,91400,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-2000,Air Transportation Workers,minor,313070,0.9,,,,,*,140030,0.9,*,*,*,*,*,45190,65040,97320,175250,#,True,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-2012,Commercial Pilots,detailed,52750,2.0,,,,,*,138010,1.2,*,*,*,*,*,56260,79440,113080,168700,#,True,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-2021,Air Traffic Controllers,detailed,22310,0.7,,,,,65.77,136790,0.3,36.63,46.57,66.05,84.96,96.63,76190,96870,137380,176720,200990,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-2022,Airfield Operations Specialists,detailed,18320,3.2,,,,,29.88,62140,1.2,16.28,19.09,24.59,35.77,51.38,33870,39700,51140,74410,106860,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-2030,Flight Attendants,broad,126020,1.1,,,,,*,70980,0.4,*,*,*,*,*,39580,49690,68370,86610,104100,True,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-3000,Motor Vehicle Operators,minor,4353340,0.4,,,,,23.96,49830,0.2,13.99,17.95,22.83,28.81,35.77,29100,37340,47490,59920,74410,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-3031,Driver/Sales Workers,detailed,463120,2.4,,,,,18.38,38230,0.9,10,12.45,17.03,22.42,29.37,20800,25900,35420,46640,61080,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-3033,Light Truck Drivers,detailed,1003960,0.5,,,,,22.16,46090,0.2,13.5,16.88,20.42,24.57,36.1,28070,35110,42470,51110,75090,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-3050,Passenger Vehicle Drivers,broad,779210,0.6,,,,,22.25,46280,0.3,13.5,16.69,21.19,26.66,33.29,28070,34700,44080,55450,69250,,
